,,Accuracy,AUC,F1,Recall,Precision
"Logistic Regression, VGG19 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, VGG19 + PCA",test,0.8361445783132531,0.6985470085470085,0.5466666666666666,0.45555555555555555,0.6833333333333333
"SVC, VGG19 + PCA",train,0.9038262668045501,0.7796208530805687,0.7173252279635258,0.5592417061611374,1.0
"SVC, VGG19 + PCA",test,0.7831325301204819,0.5,0.0,0.0,0.0
"Gradient Boosting, VGG19 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, VGG19 + PCA",test,0.7903614457831325,0.5206837606837607,0.08421052631578947,0.044444444444444446,0.8
"Random Forest, VGG19 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, VGG19 + PCA",test,0.7831325301204819,0.5,0.0,0.0,0.0
"Dense Net, Resnet50 + PCA",train,0.9989658738366081,0.9999905965545776,0.9976359338061466,1.0,0.9952830188679245
"Dense Net, Resnet50 + PCA",test,0.8024096385542169,0.7628205128205128,0.3387096774193548,0.23333333333333334,0.6176470588235294
"Logistic Regression, Resnet50 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, Resnet50 + PCA",test,0.8289156626506025,0.6617948717948717,0.4817518248175182,0.36666666666666664,0.7021276595744681
"SVC, Resnet50 + PCA",train,0.9141675284384695,0.8033175355450237,0.7551622418879056,0.6066350710900474,1.0
"SVC, Resnet50 + PCA",test,0.7855421686746988,0.5055555555555555,0.02197802197802198,0.011111111111111112,1.0
"Gradient Boosting, Resnet50 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, Resnet50 + PCA",test,0.7855421686746988,0.5055555555555555,0.02197802197802198,0.011111111111111112,1.0
"Random Forest, Resnet50 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, Resnet50 + PCA",test,0.7831325301204819,0.5,0.0,0.0,0.0
"Dense Net, EfficientNet + PCA",train,1.0,1.0,1.0,1.0,1.0
"Dense Net, EfficientNet + PCA",test,0.980722891566265,0.9970940170940171,0.9550561797752809,0.9444444444444444,0.9659090909090909
"Logistic Regression, EfficientNet + PCA",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, EfficientNet + PCA",test,0.980722891566265,0.9635897435897436,0.9545454545454545,0.9333333333333333,0.9767441860465116
"SVC, EfficientNet + PCA",train,0.9979317476732161,0.9952606635071091,0.9952380952380951,0.990521327014218,1.0
"SVC, EfficientNet + PCA",test,0.9759036144578314,0.9524786324786324,0.9425287356321839,0.9111111111111111,0.9761904761904762
"Gradient Boosting, EfficientNet + PCA",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, EfficientNet + PCA",test,0.9662650602409638,0.9342735042735042,0.9186046511627907,0.8777777777777778,0.9634146341463414
"Random Forest, EfficientNet + PCA",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, EfficientNet + PCA",test,0.9228915662650602,0.8222222222222222,0.7837837837837839,0.6444444444444445,1.0
"Dense Net, InceptionV3 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Dense Net, InceptionV3 + PCA",test,0.9566265060240964,0.9848888888888889,0.9010989010989011,0.9111111111111111,0.8913043478260869
"Logistic Regression, InceptionV3 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, InceptionV3 + PCA",test,0.9710843373493976,0.9614529914529916,0.934065934065934,0.9444444444444444,0.9239130434782609
"SVC, InceptionV3 + PCA",train,0.9875904860392968,0.971563981042654,0.9707317073170733,0.943127962085308,1.0
"SVC, InceptionV3 + PCA",test,0.9590361445783132,0.9095726495726495,0.896969696969697,0.8222222222222222,0.9866666666666667
"Gradient Boosting, InceptionV3 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, InceptionV3 + PCA",test,0.9108433734939759,0.8145299145299146,0.7581699346405228,0.6444444444444445,0.9206349206349206
"Random Forest, InceptionV3 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, InceptionV3 + PCA",test,0.8192771084337349,0.5833333333333334,0.2857142857142857,0.16666666666666666,1.0
